sentence,sentence_image_path,letters_folder_path,font
THE VILLAGE WAS MENTIONED IN THE DOMESDAY BOOK.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_1.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_1,C:/Windows/Fonts/ebrima.ttf
SCHAUNARD LEAVES QUIETLY TO GIVE MIMI AND RODOLFO TIME TOGETHER.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_2.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_2,C:/Windows/Fonts/gadugi.ttf
JOLLEY IS A CITY OF IOWA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_3.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_3,C:/Windows/Fonts/lvnmbd.ttf
STALLONE HAS BEEN MARRIED THREE TIMES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_4.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_4,C:/Windows/Fonts/arialbi.ttf
THE CENTROSOME REPLICATES DURING THE INTERPHASE OF THE CELL CYCLE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_5.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_5,C:/Windows/Fonts/verdanaz.ttf
LAGNIEU IS A COMMUNE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_6.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_6,C:/Windows/Fonts/arialbi.ttf
ESBJERG IS A CITY IN DENMARK ON THE PENINSULA JUTLAND.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_7.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_7,C:/Windows/Fonts/consola.ttf
MOGADISHU IS A COMMERCIAL AND FINANCIAL CENTER FOR SOMALIA.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_8.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_8,C:/Windows/Fonts/lvnmbd.ttf
BOTH LOUIS AND MARY COOKED.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_9.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_9,C:/Windows/Fonts/consolaz.ttf
THIS GOODBYE IS RECORDED IN DISCOURS DADIEU AUX MINISTRES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_10.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_10,C:/Windows/Fonts/couri.ttf
HIS NEPHEW ROBERTO ABBADO IS ALSO A CONDUCTOR.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_11.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_11,C:/Windows/Fonts/seguisym.ttf
IT LIVES ONLY IN THE GULF OF CALIFORNIA.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_12.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_12,C:/Windows/Fonts/ariali.ttf
